BvBmsy,FvFmsy,i_rights
1.93,0.003,ITQ
1.94,0.005,ITQ
1.87,0.007,ITQ
1.75,0.005,ITQ
1.66,0.038,ITQ
1.62,0.164,ITQ
1.56,0.15,ITQ
1.58,0.086,ITQ
1.8,0.164,ITQ
1.99,0.065,ITQ
2.16,0.105,ITQ
2.27,0.101,ITQ
2.23,0.066,ITQ
2.11,0.107,ITQ
1.9,0.181,ITQ
1.78,0.145,ITQ
1.57,0.312,ITQ
1.37,0.291,ITQ
1.22,0.195,ITQ
1.08,0.219,ITQ
1.08,0.219,ITQ
1.08,0.219,ITQ
1.08,0.219,ITQ
1.08,0.219,ITQ
1.08,0.219,ITQ
2.5,0,ITQ
2.5,0,ITQ
2.5,0.092,ITQ
2.5,0.661,ITQ
2.5,0,ITQ
2.5,0,ITQ
2.5,0,ITQ
2.5,0,ITQ
2.5,0,ITQ
2.5,0.356,ITQ
2.5,0.437,ITQ
2.5,0.589,ITQ
2.5,0.652,ITQ
2.5,0.649,ITQ
2.5,0.594,ITQ
2.5,0.66,ITQ
2.5,0.695,ITQ
2.46,0.662,ITQ
2.42,0.568,ITQ
2.39,0.363,ITQ
2.39,0.363,ITQ
2.39,0.363,ITQ
2.39,0.363,ITQ
2.39,0.363,ITQ
2.39,0.363,ITQ
2.39,0.363,ITQ
2.5,0,ITQ
2.5,0,ITQ
2.5,0,ITQ
2.5,0,ITQ
2.5,0,ITQ
2.5,0,ITQ
2.5,0,ITQ
2.5,0.001,ITQ
2.5,0.011,ITQ
2.5,0.059,ITQ
2.5,0.378,ITQ
2.5,5.71,ITQ
2.5,8.86,ITQ
2.5,7.86,ITQ
2.33,13.1,ITQ
1.25,8.83,ITQ
0.885,5.82,ITQ
0.733,4.29,ITQ
0.653,4.21,ITQ
0.59,4.68,ITQ
0.533,4.78,ITQ
0.487,5.11,ITQ
0.45,5.65,ITQ
0.418,5.8,ITQ
0.396,5.02,ITQ
0.391,2.65,ITQ
0.413,2.27,ITQ
0.442,2.05,ITQ
0.478,1.9,ITQ
0.478,1.9,ITQ
0.478,1.9,ITQ
0.478,1.9,ITQ
0.478,1.9,ITQ
0.478,1.9,ITQ
0.478,1.9,ITQ
2.5,0,ITQ
2.5,0,ITQ
2.5,0,ITQ
2.5,0,ITQ
2.5,0,ITQ
2.5,0,ITQ
2.5,0,ITQ
2.5,0,ITQ
2.5,0,ITQ
2.5,0,ITQ
2.5,0,ITQ
2.5,0,ITQ
2.5,0,ITQ
2.5,0,ITQ
2.5,0,ITQ
2.5,0,ITQ
2.5,0,ITQ
2.5,0,ITQ
2.5,0,ITQ
2.5,0.837,ITQ
2.5,1.99,ITQ
2.5,1.22,ITQ
2.5,0.52,ITQ
2.5,0.163,ITQ
2.5,0.032,ITQ
2.5,0.075,ITQ
2.5,0,ITQ
2.5,0.102,ITQ
2.43,0.934,ITQ
2.33,0.159,ITQ
2.29,0.705,ITQ
2.26,0.637,ITQ
2.26,0.657,ITQ
2.27,0.847,ITQ
2.26,0.194,ITQ
2.26,0.194,ITQ
2.26,0.194,ITQ
2.26,0.194,ITQ
2.08,0,ITQ
2.08,0.059,ITQ
2.08,0.119,ITQ
2.08,0.18,ITQ
2.06,0.244,ITQ
2.04,0.315,ITQ
1.96,0.388,ITQ
1.87,1.06,ITQ
1.87,0.786,ITQ
1.89,1.77,ITQ
1.88,0.893,ITQ
1.66,1.71,ITQ
1.5,1.83,ITQ
1.33,1.66,ITQ
1.17,2.69,ITQ
1.11,3.24,ITQ
1.15,4.14,ITQ
1.21,3.44,ITQ
1.05,2.77,ITQ
1.41,2.75,ITQ
1.7,2.82,ITQ
1.59,4.83,ITQ
1.33,5.35,ITQ
0.972,7.63,ITQ
0.773,5.31,ITQ
0.953,5.24,ITQ
1.08,4.07,ITQ
1.15,4.07,ITQ
1.03,0.197,ITQ
1.03,0.197,ITQ
1.03,0.197,ITQ
1.03,0.197,ITQ
1.03,0.197,ITQ
1.03,0.197,ITQ
1.03,0.197,ITQ
2.01,0.1,ITQ
2.03,0.187,ITQ
2.03,0.056,ITQ
2.04,0.096,ITQ
2.05,0.123,ITQ
2.05,0.103,ITQ
2.05,0.081,ITQ
2.05,0.085,ITQ
2.05,0.157,ITQ
2.04,0.321,ITQ
2.02,0.486,ITQ
1.99,0,ITQ
2.02,0,ITQ
2.03,0.153,ITQ
2.02,0.165,ITQ
2.01,0.126,ITQ
2,0.147,ITQ
1.99,0.174,ITQ
2,0.273,ITQ
2,0.35,ITQ
1.99,0.437,ITQ
1.97,0.309,ITQ
1.98,0.291,ITQ
1.98,0.501,ITQ
1.96,0.655,ITQ
1.93,0.307,ITQ
1.95,0.766,ITQ
1.9,0.721,ITQ
1.86,0.803,ITQ
1.85,1.24,ITQ
1.78,0.981,ITQ
1.72,1.9,ITQ
1.61,1.87,ITQ
1.48,2.04,ITQ
1.24,2.08,ITQ
1.13,3.79,ITQ
0.895,6.66,ITQ
0.73,5.14,ITQ
1.13,4.66,ITQ
1.23,3.67,ITQ
1.22,5.67,ITQ
1.06,5.73,ITQ
0.987,3.05,ITQ
1.39,4.46,ITQ
1.4,2.88,ITQ
1.3,3.13,ITQ
1.23,2.48,ITQ
1.16,2.1,ITQ
0.927,1.7,ITQ
0.653,3.78,ITQ
0.49,4.02,ITQ
0.614,3.25,ITQ
0.926,2.57,ITQ
0.97,2.61,ITQ
0.867,2.02,ITQ
0.71,2.43,ITQ
0.697,3.1,ITQ
0.663,3.19,ITQ
0.663,3.19,ITQ
0.663,3.19,ITQ
0.663,3.19,ITQ
0.663,3.19,ITQ
0.663,3.19,ITQ
0.43,0.676,ITQ
0.515,1.06,ITQ
0.549,1.3,ITQ
0.569,0.844,ITQ
0.536,0.629,ITQ
0.551,0.353,ITQ
0.545,0.266,ITQ
0.527,0.246,ITQ
0.549,0.116,ITQ
0.631,0.048,ITQ
0.698,0.021,ITQ
0.692,0.012,ITQ
0.81,0,ITQ
0.882,0,ITQ
0.794,0,ITQ
0.716,0,ITQ
0.668,0,ITQ
0.658,0,ITQ
0.637,0,ITQ
0.663,0,ITQ
0.615,0,ITQ
0.61,0,ITQ
0.642,0,ITQ
0.632,0,ITQ
0.579,0,ITQ
0.607,0,ITQ
0.61,0,ITQ
0.675,0,ITQ
0.768,0,ITQ
0.899,0,ITQ
1.03,0,ITQ
1.18,0,ITQ
1.36,0,ITQ
1.53,0,ITQ
1.68,0,ITQ
1.82,0,ITQ
1.97,0,ITQ
2.11,0,ITQ
2.19,0,ITQ
2.24,0,ITQ
2.25,0,ITQ
2.27,0,ITQ
2.24,0,ITQ
2.22,0,ITQ
2.24,0,ITQ
2.24,0,ITQ
2.22,0,ITQ
2.16,0,ITQ
2.08,0,ITQ
2.07,0,ITQ
2.1,0,ITQ
2.18,0,ITQ
2.27,0,ITQ
2.29,0,ITQ
2.21,0,ITQ
2.09,0,ITQ
2.09,0,ITQ
2.09,0,ITQ
2.09,0,ITQ
2.09,0,ITQ
2.09,0,ITQ
2.09,0,ITQ
2.09,0,ITQ
2.5,0,ITQ
2.26,0.191,ITQ
2.5,0.078,ITQ
2.5,0.076,ITQ
2.5,0.149,ITQ
2.5,0.336,ITQ
2.5,0.353,ITQ
2.5,0.503,ITQ
2.5,0.563,ITQ
2.11,0.736,ITQ
1.74,0.847,ITQ
1.5,0.826,ITQ
1.73,0.831,ITQ
1.93,0.794,ITQ
1.56,1.16,ITQ
1.01,0.517,ITQ
0.569,1.02,ITQ
0.438,0.467,ITQ
0.423,0.416,ITQ
0.453,0.275,ITQ
0.513,0.395,ITQ
0.472,0.168,ITQ
0.488,0.847,ITQ
0.488,0.847,ITQ
0.488,0.847,ITQ
0.488,0.847,ITQ
0.488,0.847,ITQ
0.488,0.847,ITQ
0.488,0.847,ITQ
1.64,0,ITQ
1.28,0.878,ITQ
2.5,0.18,ITQ
2.5,0.683,ITQ
1.95,0.821,ITQ
1.81,0.336,ITQ
1.84,1.24,ITQ
1.52,3.44,ITQ
0.931,3.83,ITQ
0.592,4.07,ITQ
0.456,6.43,ITQ
0.323,5.36,ITQ
0.297,3.85,ITQ
0.543,4.3,ITQ
0.614,5.39,ITQ
0.363,3.38,ITQ
0.267,4.72,ITQ
0.209,5.16,ITQ
0.212,4.75,ITQ
0.254,3.38,ITQ
0.494,3.72,ITQ
0.538,3.64,ITQ
0.413,7.95,ITQ
0.413,7.95,ITQ
0.413,7.95,ITQ
0.413,7.95,ITQ
0.413,7.95,ITQ
0.413,7.95,ITQ
0.413,7.95,ITQ
2.5,0.279,ITQ
2.5,0.238,ITQ
2.5,0.228,ITQ
2.5,0.096,ITQ
2.5,0.103,ITQ
2.5,0.127,ITQ
2.5,0.123,ITQ
2.5,0.113,ITQ
2.5,0.09,ITQ
2.5,0.139,ITQ
2.5,0.126,ITQ
2.5,0.188,ITQ
2.5,0.308,ITQ
2.5,0.242,ITQ
2.5,0.153,ITQ
2.5,0.203,ITQ
2.5,0.311,ITQ
2.5,0.265,ITQ
2.5,0.599,ITQ
2.5,0.463,ITQ
2.5,0.405,ITQ
2.5,0.394,ITQ
2.5,0.132,ITQ
2.5,0.358,ITQ
2.5,0.402,ITQ
2.5,0.347,ITQ
2.5,0.551,ITQ
2.5,0.446,ITQ
2.5,0.715,ITQ
2.4,0.489,ITQ
2.34,0.356,ITQ
2.33,0.219,ITQ
2.36,0.389,ITQ
2.35,0.749,ITQ
2.26,1.05,ITQ
2.1,0.959,ITQ
1.99,0.797,ITQ
1.94,0.999,ITQ
1.86,1.34,ITQ
1.72,1.44,ITQ
1.58,1.38,ITQ
1.47,1.27,ITQ
1.39,1.39,ITQ
1.3,1.21,ITQ
1.25,1.36,ITQ
1.19,1.06,ITQ
1.17,0.878,ITQ
1.17,0.895,ITQ
1.17,1.01,ITQ
1.15,1.17,ITQ
1.1,1.05,ITQ
1.07,1.13,ITQ
1.04,1.24,ITQ
1.01,1.22,ITQ
1.01,1.15,ITQ
1.04,1.25,ITQ
1.07,0.964,ITQ
1.16,0.907,ITQ
1.28,0.952,ITQ
1.37,0.737,ITQ
1.37,0.737,ITQ
1.37,0.737,ITQ
1.37,0.737,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
NA,NA,ITQ
0.179,2.65,No ITQ
0.221,2.16,No ITQ
0.256,1.86,No ITQ
0.236,1.96,No ITQ
0.223,2.22,No ITQ
0.191,2.64,No ITQ
0.21,1.85,No ITQ
0.263,2.29,No ITQ
0.272,2.98,No ITQ
0.183,3.93,No ITQ
0.097,3.59,No ITQ
0.094,2.27,No ITQ
0.089,2.2,No ITQ
0.078,2.75,No ITQ
0.102,3.01,No ITQ
0.095,2.58,No ITQ
0.079,4.46,No ITQ
0.05,3.8,No ITQ
0.03,4.94,No ITQ
0.017,4.4,No ITQ
0.012,1.07,No ITQ
0.019,0.655,No ITQ
0.042,1.11,No ITQ
0.044,5.06,No ITQ
0.02,3.3,No ITQ
0.02,3.91,No ITQ
0.04,3.66,No ITQ
0.037,4.94,No ITQ
0.016,3.86,No ITQ
0.013,2.75,No ITQ
0.014,3.63,No ITQ
0.009,3.53,No ITQ
0.029,0.901,No ITQ
0.03,1.39,No ITQ
0.044,2.27,No ITQ
0.051,2.43,No ITQ
0.046,2.79,No ITQ
0.039,2.54,No ITQ
0.035,2.67,No ITQ
0.039,1.78,No ITQ
0.039,1.78,No ITQ
0.039,1.78,No ITQ
0.039,1.78,No ITQ
0.059,1.99,No ITQ
0.067,2.18,No ITQ
0.074,1.78,No ITQ
0.077,1.61,No ITQ
0.133,2.04,No ITQ
0.148,1.93,No ITQ
0.138,1.81,No ITQ
0.154,1.56,No ITQ
0.21,1.67,No ITQ
0.257,1.85,No ITQ
0.22,2.26,No ITQ
0.257,1.99,No ITQ
0.267,2.28,No ITQ
0.25,2.02,No ITQ
0.272,2.18,No ITQ
0.24,2.16,No ITQ
0.213,1.99,No ITQ
0.2,1.72,No ITQ
0.21,1.95,No ITQ
0.233,2.13,No ITQ
0.186,1.96,No ITQ
0.183,2.04,No ITQ
0.19,2.08,No ITQ
0.174,2.01,No ITQ
0.149,1.96,No ITQ
0.141,2.23,No ITQ
0.126,2.32,No ITQ
0.114,1.67,No ITQ
0.114,1.67,No ITQ
0.114,1.67,No ITQ
0.114,1.67,No ITQ
0.127,2.19,No ITQ
0.151,2.36,No ITQ
0.166,2.76,No ITQ
0.125,2.54,No ITQ
0.088,2.15,No ITQ
0.079,1.78,No ITQ
0.091,2.53,No ITQ
0.064,1.91,No ITQ
0.08,1.91,No ITQ
0.114,2.58,No ITQ
0.116,3.08,No ITQ
0.133,2.72,No ITQ
0.139,3.27,No ITQ
0.104,2.14,No ITQ
0.196,2.32,No ITQ
0.218,3.12,No ITQ
0.172,2.84,No ITQ
0.19,2.94,No ITQ
0.194,2.6,No ITQ
0.211,2.56,No ITQ
0.27,2.88,No ITQ
0.265,3.06,No ITQ
0.257,2.81,No ITQ
0.249,2.59,No ITQ
0.256,3,No ITQ
0.262,2.82,No ITQ
0.207,2.31,No ITQ
0.189,2.75,No ITQ
0.139,3.19,No ITQ
0.173,2.73,No ITQ
0.264,2.25,No ITQ
0.273,2.32,No ITQ
0.229,2.35,No ITQ
0.234,1.83,No ITQ
0.223,1.89,No ITQ
0.21,2.09,No ITQ
0.211,2.19,No ITQ
0.226,1.92,No ITQ
0.226,1.92,No ITQ
0.226,1.92,No ITQ
2.26,0.565,ITQ
2.48,0.522,ITQ
1.95,0.907,ITQ
2.24,0.667,ITQ
2.29,0.767,ITQ
2.46,0.807,ITQ
2.36,0.874,ITQ
2.5,0.61,ITQ
2.22,1.1,ITQ
0.474,4.31,ITQ
0.441,1.94,ITQ
0.564,0.619,ITQ
0.682,1.04,ITQ
0.951,0.678,ITQ
0.602,1.27,ITQ
0.357,0.58,ITQ
0.404,0.621,ITQ
0.579,0.477,ITQ
0.64,0.252,ITQ
0.47,0.535,ITQ
0.268,1.28,ITQ
0.428,0.085,ITQ
0.966,0.02,ITQ
0.801,0.216,ITQ
0.245,2.7,ITQ
0.315,1.2,ITQ
0.504,1.14,ITQ
0.575,1.36,ITQ
0.66,0.986,ITQ
0.707,1.04,ITQ
0.627,1.66,ITQ
0.881,1.57,ITQ
1.06,1.82,ITQ
0.797,1.66,ITQ
0.811,1.75,ITQ
0.561,2.08,ITQ
0.509,0.695,ITQ
0.976,1.37,ITQ
1.58,1.13,ITQ
1.33,0.972,ITQ
1.34,1.16,ITQ
1.12,0.993,ITQ
1.5,1.16,ITQ
1.56,1.12,ITQ
0.991,1.23,ITQ
1.36,0.907,ITQ
1.47,0.843,ITQ
1.47,0.843,ITQ
1.47,0.843,ITQ
1.47,0.843,ITQ
1.47,0.843,ITQ
1.63,0.927,ITQ
1.35,1.11,ITQ
0.904,1.01,ITQ
0.993,1.14,ITQ
1.05,0.999,ITQ
1.11,1.54,ITQ
0.92,1.7,ITQ
0.767,1.53,ITQ
0.824,1.31,ITQ
0.895,1.62,ITQ
0.81,1.63,ITQ
0.643,1.9,ITQ
0.439,2.11,ITQ
0.303,1.29,ITQ
0.343,1.06,ITQ
0.445,1.55,ITQ
0.485,2.21,ITQ
0.395,2.35,ITQ
0.321,1.87,ITQ
0.372,2.16,ITQ
0.288,1.51,ITQ
0.294,1.33,ITQ
0.357,2.01,ITQ
0.338,1.97,ITQ
0.328,1.69,ITQ
0.373,1.68,ITQ
0.373,1.68,ITQ
0.227,1.8,ITQ
0.218,1.88,ITQ
0.207,1.68,ITQ
0.22,2.01,ITQ
0.248,2.15,ITQ
0.261,2.46,ITQ
0.272,2.48,ITQ
0.262,1.63,ITQ
0.205,2.39,ITQ
0.166,2.24,ITQ
0.131,1.79,ITQ
0.137,1.99,ITQ
0.149,2.32,ITQ
0.158,2.13,ITQ
0.197,2.49,ITQ
0.192,1.97,ITQ
0.198,2.14,ITQ
0.169,2.16,ITQ
0.147,1.87,ITQ
0.155,1.76,ITQ
0.166,1.71,ITQ
0.169,1.79,ITQ
0.169,1.79,ITQ
1.57,0.131,ITQ
1.65,0.164,ITQ
1.68,0.307,ITQ
1.66,0.911,ITQ
1.56,0.525,ITQ
1.57,0.234,ITQ
1.53,0.109,ITQ
1.47,0.103,ITQ
1.41,0.194,ITQ
1.35,0.058,ITQ
1.34,0.188,ITQ
1.41,0.367,ITQ
1.89,0.489,ITQ
2.5,0.553,ITQ
2.39,1.21,ITQ
2.44,0.768,ITQ
2.5,0.298,ITQ
2.42,0.252,ITQ
2.46,0.355,ITQ
2.44,0.641,ITQ
2.31,0.571,ITQ
2.15,0.595,ITQ
2.15,0.595,ITQ
2.15,0.595,ITQ
2.15,0.595,ITQ
2.15,0.595,ITQ
2.15,0.595,ITQ
2.15,0.595,ITQ
0.208,2.17,ITQ
0.227,1.73,ITQ
0.252,2.77,ITQ
0.266,3.15,ITQ
0.269,2.76,ITQ
0.272,2.56,ITQ
0.269,2.61,ITQ
0.261,2.39,ITQ
0.25,2.81,ITQ
0.231,2.34,ITQ
0.214,2.47,ITQ
0.196,2.62,ITQ
0.178,2.3,ITQ
0.162,2.59,ITQ
0.147,2.7,ITQ
0.134,2.47,ITQ
0.126,2.57,ITQ
0.121,3.23,ITQ
0.113,2.27,ITQ
0.109,2.44,ITQ
0.103,1.91,ITQ
0.103,1.91,ITQ
0.103,1.91,ITQ
0.103,1.91,ITQ
0.103,1.91,ITQ
0.103,1.91,ITQ
2.5,0.2,ITQ
2.5,0.417,ITQ
2.5,0.483,ITQ
2.5,0.458,ITQ
2.34,0.717,ITQ
1.97,0.563,ITQ
1.75,0.367,ITQ
1.69,0.688,ITQ
1.53,0.513,ITQ
1.49,0.179,ITQ
1.62,0.558,ITQ
1.59,0.363,ITQ
1.66,0.575,ITQ
1.62,0.208,ITQ
1.73,0.271,ITQ
1.81,0.475,ITQ
1.75,0.267,ITQ
1.77,0.117,ITQ
1.87,0.079,ITQ
2,0.275,ITQ
2.01,0.179,ITQ
2.03,0.246,ITQ
2.02,0.154,ITQ
2.08,0.242,ITQ
2.11,0.275,ITQ
2.12,0.379,ITQ
2.08,0.346,ITQ
2.06,0.808,ITQ
1.81,0.317,ITQ
1.84,0.442,ITQ
1.81,0.304,ITQ
1.85,0.358,ITQ
1.86,0.25,ITQ
1.93,0.296,ITQ
1.97,0.292,ITQ
2,0.196,ITQ
2.08,0.217,ITQ
2.13,0.275,ITQ
2.11,0.321,ITQ
2.05,0.579,ITQ
1.84,0.492,ITQ
1.68,0.333,ITQ
1.62,0.338,ITQ
1.6,0.417,ITQ
1.57,0.25,ITQ
1.62,0.108,ITQ
1.75,0.408,ITQ
1.77,0.375,ITQ
1.79,0.621,ITQ
1.64,0.221,ITQ
1.63,0.25,ITQ
1.62,0.25,ITQ
1.62,0.208,ITQ
1.66,0.254,ITQ
1.71,0.279,ITQ
1.79,0.313,ITQ
1.86,0.204,ITQ
1.98,0.225,ITQ
2.13,0.204,ITQ
2.3,0.217,ITQ
2.4,0.196,ITQ
2.44,0.263,ITQ
2.43,0.171,ITQ
0.707,4.89,No ITQ
0.626,4.85,No ITQ
0.568,3.79,No ITQ
0.536,3.15,No ITQ
0.52,2.5,No ITQ
0.511,2.72,No ITQ
0.5,2.88,No ITQ
0.483,3.85,No ITQ
0.46,3.51,No ITQ
0.443,3.53,No ITQ
0.433,2.64,No ITQ
0.427,3.32,No ITQ
0.416,3.41,No ITQ
0.411,2.45,No ITQ
0.416,2,No ITQ
0.426,1.89,No ITQ
0.437,1.96,No ITQ
0.443,2.45,No ITQ
0.45,1.5,No ITQ
0.456,2.7,No ITQ
0.44,3.75,No ITQ
0.405,4.85,No ITQ
0.357,5.21,No ITQ
0.308,5.51,No ITQ
0.271,3.85,No ITQ
0.248,4.44,No ITQ
0.229,5,No ITQ
0.209,6.54,No ITQ
0.183,8.04,No ITQ
0.152,9.67,No ITQ
0.121,8,No ITQ
0.097,7.95,No ITQ
0.077,9.12,No ITQ
0.061,9.18,No ITQ
0.049,10.2,No ITQ
0.04,11.9,No ITQ
0.033,9.65,No ITQ
0.031,6.5,No ITQ
0.032,3.93,No ITQ
0.037,2.01,No ITQ
0.044,1.58,No ITQ
0.041,21.5,No ITQ
0.037,3.02,No ITQ
0.044,2.84,No ITQ
0.044,21.7,No ITQ
0.046,1.96,No ITQ
0.065,1.54,No ITQ
0.093,0.591,No ITQ
0.129,0.648,No ITQ
0.173,0.24,No ITQ
0.223,0.225,No ITQ
0.279,0.265,No ITQ
0.343,0.147,No ITQ
0.419,0.141,No ITQ
0.509,0.108,No ITQ
0.614,0.113,No ITQ
0.734,0.092,No ITQ
0.866,0.133,No ITQ
0.866,0.133,No ITQ
0.866,0.133,No ITQ
0.866,0.133,No ITQ
0.866,0.133,No ITQ
0.866,0.133,No ITQ
0.403,4.12,No ITQ
0.299,4.9,No ITQ
0.246,4.36,No ITQ
0.226,5.12,No ITQ
0.211,4.66,No ITQ
0.205,4.6,No ITQ
0.212,3.43,No ITQ
0.283,5.11,No ITQ
0.365,6.27,No ITQ
0.315,6.92,No ITQ
0.198,7.39,No ITQ
0.138,8.31,No ITQ
0.128,7.68,No ITQ
0.146,5.16,No ITQ
0.153,5.22,No ITQ
0.13,4.58,No ITQ
0.114,3.97,No ITQ
0.124,2.32,No ITQ
0.166,2.98,No ITQ
0.217,3.39,No ITQ
0.218,2.7,No ITQ
0.183,3.2,No ITQ
0.157,3.29,No ITQ
0.132,4.48,No ITQ
0.123,3.85,No ITQ
0.159,3.76,No ITQ
0.188,4.74,No ITQ
0.209,5.01,No ITQ
0.204,4.63,No ITQ
0.181,4.88,No ITQ
0.181,4.88,No ITQ
1.85,4.22,No ITQ
2.5,1.09,No ITQ
2.5,0.543,No ITQ
2.5,0.609,No ITQ
2.5,0.587,No ITQ
2.5,0.935,No ITQ
2.12,1.26,No ITQ
1.41,0.826,No ITQ
0.918,1.11,No ITQ
0.54,1.39,No ITQ
0.279,2.02,No ITQ
0.168,2.13,No ITQ
0.111,1.87,No ITQ
0.144,4.89,No ITQ
0.165,5.65,No ITQ
0.186,0.609,No ITQ
0.196,0.522,No ITQ
0.274,0.304,No ITQ
0.459,0.304,No ITQ
0.618,0.37,No ITQ
0.967,0.304,No ITQ
1.32,0.413,No ITQ
1.32,0.304,No ITQ
1.5,0.435,No ITQ
2.5,0.413,No ITQ
2.5,0.391,No ITQ
2.5,0.326,No ITQ
2.5,0.304,No ITQ
2.06,0.413,No ITQ
1.62,0.413,No ITQ
1.39,0.5,No ITQ
0.914,0.565,No ITQ
0.788,1.15,No ITQ
0.585,1.78,No ITQ
0.585,1.78,No ITQ
0.585,1.78,No ITQ
2.5,0.44,No ITQ
2.5,0.48,No ITQ
2.5,0.4,No ITQ
2.5,0.48,No ITQ
2.5,0.36,No ITQ
2.5,0.32,No ITQ
2.5,0.32,No ITQ
2.5,0.4,No ITQ
2.5,0.64,No ITQ
2.5,0.56,No ITQ
2.5,0.88,No ITQ
2.25,1.04,No ITQ
2.1,1,No ITQ
1.98,1,No ITQ
1.63,1.16,No ITQ
1.57,1.28,No ITQ
1.38,1.96,No ITQ
1.15,1.92,No ITQ
0.929,1.76,No ITQ
0.847,1.36,No ITQ
0.754,1.12,No ITQ
0.775,0.84,No ITQ
0.793,0.68,No ITQ
0.799,0.52,No ITQ
0.798,0.48,No ITQ
0.915,0.4,No ITQ
1,0.32,No ITQ
1.14,0.32,No ITQ
1.23,0.32,No ITQ
1.34,0.28,No ITQ
1.43,0.24,No ITQ
1.63,0.24,No ITQ
