SciName,Country,i_right,turf,SpeciesCat
Penaeus latisulcatus,Australia,FALSE,TRUE,45
Penaeus merguiensis,Australia,FALSE,TRUE,45
Penaeus monodon,Vietnam,FALSE,TRUE,45
Penaeus monodon,India,FALSE,TRUE,45
Penaeus semisulcatus,Vietnam,FALSE,TRUE,45
Penaeus semisulcatus,Sri Lanka,FALSE,TRUE,45
Penaeus indicus,Fiji,FALSE,TRUE,45
Perna perna,Chile,FALSE,TRUE,54
Pinna rugosa,Mexico,FALSE,TRUE,55
Platichthys stellatus,United States,TRUE,FALSE,31
Platycephalus conatus,Australia,TRUE,FALSE,33
Pleurogrammus monopterygius,United States,TRUE,FALSE,33
Pollicipes pollicipes,Spain,FALSE,TRUE,47
Pomacentridae,Philippines,FALSE,TRUE,33
Portunus pelagicus,Vietnam,FALSE,TRUE,42
Portunus sanguinolentus,Vietnam,FALSE,TRUE,42
Protothaca thaca,Chile,FALSE,TRUE,56
Pseudocarcinus gigas,Australia,TRUE,FALSE,42
Pseudocardium sachalinense,Japan,FALSE,TRUE,56
Pseudocyttus maculatus,New Zealand,TRUE,FALSE,34
Pyura chilensis,Chile,FALSE,TRUE,74
Razor clams,Netherlands,FALSE,TRUE,56
Reef fish,Vanuatu,FALSE,TRUE,33
Reinhardtius stomias,United States,TRUE,FALSE,31
Rexea solandri,Australia,TRUE,FALSE,34
Rexea solandri,New Zealand,TRUE,FALSE,34
Sandeel,Japan,FALSE,TRUE,33
Sarcothalia crispata,Chile,FALSE,TRUE,92
Sardinops melanostictus,Japan,FALSE,TRUE,35
Sarpa salpa,France,FALSE,TRUE,33
Scallop spp,United Kingdom,FALSE,TRUE,55
Scomber japonicus,Japan,FALSE,TRUE,37
Scomber japonicus,Chile,FALSE,TRUE,37
Scorpaena notata,France,FALSE,TRUE,34
Scorpaena porcus,France,FALSE,TRUE,34
Scorpaena scrofa,France,FALSE,TRUE,34
Scorpaena spp,France,FALSE,TRUE,34
Scylla serrata,Vietnam,FALSE,TRUE,42
Sea bass spp,Netherlands,FALSE,TRUE,33
Sea cucumber,Vanuatu,FALSE,TRUE,77
Sea cucumbers,Japan,FALSE,TRUE,77
Sea squirt,Chile,FALSE,TRUE,74
Sebastes alutus,United States,TRUE,FALSE,34
Sebastes chlorostictus,United States,TRUE,FALSE,34
Sebastes crameri,United States,TRUE,FALSE,34
Sebastes diploproa,United States,TRUE,FALSE,34
Sebastes elongatus,United States,TRUE,FALSE,34
Sebastes entomelas,United States,TRUE,FALSE,34
Sebastes flavidus,United States,TRUE,FALSE,34
Sebastes goodei,United States,TRUE,FALSE,34
Sebastes jordani,United States,TRUE,FALSE,34
Sebastes levis,United States,TRUE,FALSE,34
Sebastes melanostomus,United States,TRUE,FALSE,34
Sebastes paucispinis,United States,TRUE,FALSE,34
Sebastes pinniger,United States,TRUE,FALSE,34
Sebastes pinniger,Canada,TRUE,FALSE,34
Sebastes ruberrimus,United States,TRUE,FALSE,34
Sebastes rufus,United States,TRUE,FALSE,34
Sebastolobus alascanus,United States,TRUE,FALSE,34
Sebastolobus altivelis,United States,TRUE,FALSE,34
Semele solida,Chile,FALSE,TRUE,56
Sepia bertheloti,Chile,FALSE,TRUE,57
Sepia officinalis,France,FALSE,TRUE,57
Sergia lucens,Japan,FALSE,TRUE,45
Seriola quinqueradiata,Japan,FALSE,TRUE,37
Seriolella brama,Australia,TRUE,FALSE,34
Seriolella punctata,Australia,TRUE,FALSE,34
Serranid spp,Philippines,FALSE,TRUE,33
Serranus cabrilla,France,FALSE,TRUE,33
Serranus scriba,France,FALSE,TRUE,33
Serranus spp.,France,FALSE,TRUE,33
Shellfish spp,Vanuatu,FALSE,TRUE,58
Siganus spp,Vietnam,FALSE,TRUE,33
Sillago flindersi,Australia,TRUE,FALSE,33
Smelt spp,Netherlands,FALSE,TRUE,33
Solea aegyptiaca,France,FALSE,TRUE,31
Solea solea,France,FALSE,TRUE,31
Sparus aurata,Greece,FALSE,TRUE,33
Sparus aurata,France,FALSE,TRUE,33
Spisula solidissima,United States,TRUE,FALSE,56
Spondyliosoma cantharus,France,FALSE,TRUE,33
Spondylus calcifer,Mexico,FALSE,TRUE,53
Sprat spp,Netherlands,FALSE,TRUE,33
Sprattus fuegensis,Chile,FALSE,TRUE,35
Symphodus spp,France,FALSE,TRUE,33
Tagelus dombeii,Chile,FALSE,TRUE,56
Tapes decussatus,Italy,FALSE,TRUE,56
Tegula atra,Chile,FALSE,TRUE,58
Thais chocolata,Chile,FALSE,TRUE,52
Theragra chalcogramma,Japan,FALSE,TRUE,32
Terapon theraps,Vietnam,FALSE,TRUE,33
Todarodes pacificus,Japan,FALSE,TRUE,57
Trachinus spp.,France,FALSE,TRUE,33
Trachurus capensis,South Africa,TRUE,FALSE,37
Trachurus japonicus,Japan,FALSE,TRUE,37
Trachypenaeus sp,Australia,FALSE,TRUE,45
Tripneustes gratilla,Fiji,FALSE,TRUE,76
Trochus spp,Vanuatu,FALSE,TRUE,58
Trophon spp,Chile,FALSE,TRUE,58
Uranoscopus scaber,France,FALSE,TRUE,34
Venerupis aurea,Italy,FALSE,TRUE,56
Venus antiqua,Chile,FALSE,TRUE,56
Venus verrucosa,Italy,FALSE,TRUE,56
Xanthochorus cassidiformis,Chile,FALSE,TRUE,58
