"","Country","assess_id_short","Year","CommName","Biomass","Catch","BvBmsy","FvFmsy","Dbase","SciName","IdLevel","SpeciesCat.x","Profits","MSY","Price","g","k","c","phi","itq","ivq","iq","turf"
"1","India","265-SOFIA",2012,"Kelee shad",61897.897,14000,0.401,2.19,"SOFIA","Hilsa kelee","Species",24,-5053403.721,15955.547,1005.454,0.103,386330.59,132105715.5,0.188,NA,NA,NA,NA
"2","Australia","502-SOFIA",2012,"Mackerel icefish",2435.223,500,0.4,5.051,"SOFIA","Champsocephalus gunnari","Species",34,-511972.201,247.425,1368.908,0.041,15216.188,9369692.936,0.188,NA,NA,NA,NA
"3","New Zealand","552-SOFIA",2012,"Barracudas NEI",2514.014,0,1.001,0,"SOFIA","Sphyraena spp","Species",37,0,103.402,993.596,0.041,6281.433,1380489.818,0.188,NA,NA,NA,NA
"4","Spain","558-SOFIA",2012,"Various squids NEI",1683.609,500,1,7.438,"SOFIA","Loliginidae, Ommastrephidae","Species",57,148707.792,67.191,1384.735,0.04,4207.412,2634995.5,0.188,NA,NA,NA,NA
"5","Norway","10000-FAO",2012,"Red king crab",24870.496,1437,1.07,1.435,"FAO","Paralithodes camtschaticus","Species",44,8414700.6,935.995,8942.645,0.04,58129.431,180582577.1,0.188,NA,NA,NA,NA
"6","Norway","10013-FAO",2012,"Sea trout",126.541,3,1.154,0.578,"FAO","Salmo trutta","Species",23,8818.496,4.494,4299.216,0.041,274.073,528702.282,0.188,NA,NA,NA,NA
"7","Norway","10027-FAO",2012,"Turbot",625.155,50,0.814,1.96,"FAO","Psetta maxima","Species",31,193316.685,31.348,6955.084,0.041,1920.543,4119798.737,0.188,NA,NA,NA,NA
"8","Norway","10037-FAO",2012,"Witch flounder",2366.346,51,0.726,1.676,"FAO","Glyptocephalus cynoglossus","Species",31,64792.065,41.901,2418.449,0.013,8144.506,8589714.798,0.188,NA,NA,NA,NA
"9","Oman","10079-FAO",2012,"Pharaoh cuttlefish",367407.654,6530,1.845,0.264,"FAO","Sepia pharaonis","Species",57,7583659.436,13426.996,1376.471,0.067,497761.429,264781200.6,0.188,NA,NA,NA,NA
"10","Other nei","10131-FAO",2012,"Blue shark",728.476,5,0.967,0.503,"FAO","Prionace glauca","Species",38,2828.063,10.293,886.725,0.014,1884.294,1042572.477,0.188,NA,NA,NA,NA
"11","Other nei","10132-FAO",2012,"Blue shark",4112.644,160,0.683,2.825,"FAO","Prionace glauca","Species",38,19817.863,82.924,886.725,0.014,15055.316,8309372.798,0.188,NA,NA,NA,NA
"12","Benin","1016-FAO",2012,"African sicklefish",142.649,35,0.557,6.405,"FAO","Drepane africana","Species",33,-22309.891,9.806,1833.536,0.038,639.916,537270.928,0.188,NA,NA,NA,NA
"13","Pakistan","10200-FAO",2012,"Bombay-duck",451.453,45,0.591,0.982,"FAO","Harpadon nehereus","Species",33,22736.771,77.611,1833.536,0.102,1910.941,1197622.996,0.188,NA,NA,NA,NA
"14","Pakistan","10209-FAO",2012,"Dorab wolf-herring",20066.86,1503,0.645,1.503,"FAO","Chirocentrus dorab","Species",35,228144.177,1162.504,349.062,0.037,77754.823,12520343.79,0.188,NA,NA,NA,NA
"15","Pakistan","10212-FAO",2012,"Fourfinger threadfin",4889.351,204,0.483,1.064,"FAO","Eleutheronema tetradactylum","Species",33,34627.416,396.796,1833.536,0.039,25303.357,21097793.45,0.188,NA,NA,NA,NA
"16","Pakistan","10214-FAO",2012,"Giant tiger prawn",1797.752,190,0.711,2.68,"FAO","Penaeus monodon","Species",45,280458.943,99.673,3996.106,0.039,6318.192,8890460.357,0.188,NA,NA,NA,NA
"17","Pakistan","10222-FAO",2012,"Indian oil sardine",261172.171,23304,0.662,1.675,"FAO","Sardinella longiceps","Species",35,2946385.228,15753.174,293.252,0.04,985976.113,130750576.8,0.188,NA,NA,NA,NA
"18","Pakistan","10226-FAO",2012,"Largehead hairtail",502136.479,22079,1.823,0.395,"FAO","Trichiurus lepturus","Species",34,15021329.96,30696.85,828.25,0.111,688698.795,189608381.5,0.188,NA,NA,NA,NA
"19","Pakistan","10228-FAO",2012,"Mangrove red snapper",21748.768,1532,0.619,1.801,"FAO","Lutjanus argentimaculatus","Species",33,889391.486,1374.697,3401.099,0.039,87852.251,135963463.9,0.188,NA,NA,NA,NA
"20","Pakistan","10245-FAO",2012,"Sillago-whitings",3969.53,401,0.683,2.543,"FAO","Sillaginidae","Species",33,122691.701,230.756,1833.536,0.04,14523.408,12061994.03,0.188,NA,NA,NA,NA
"21","Pakistan","10250-FAO",2012,"Tonguefishes",12879.269,1056,0.585,2.071,"FAO","Cynoglossidae","Species",31,722714.687,872.039,1841.757,0.04,55068.654,31566828.23,0.188,NA,NA,NA,NA
"22","Palau","10266-FAO",2012,"Indo-Pacific swamp crab",60.033,1,0.78,0.401,"FAO","Scylla serrata","Species",42,1981.169,3.199,3411.591,0.042,192.422,293337.504,0.188,NA,NA,NA,NA
"23","Palestine","10291-FAO",2012,"Bogue",265.529,38,0.798,3.544,"FAO","Boops boops","Species",33,22974.262,13.428,2847.467,0.04,831.426,1067128.029,0.188,NA,NA,NA,NA
"24","Palestine","10303-FAO",2012,"Meagre",22.509,3,0.387,9.851,"FAO","Argyrosomus regius","Species",33,-5438.626,0.786,1503.069,0.014,145.268,136627.581,0.188,NA,NA,NA,NA
"25","Palestine","10307-FAO",2012,"Red porgy",41.497,1,0.594,0.586,"FAO","Pagrus pagrus","Species",33,1090.526,2.872,2847.467,0.041,174.648,222936.198,0.188,NA,NA,NA,NA
"26","Panama","10350-FAO",2012,"Crystal shrimp",12567.522,417,0.353,0.881,"FAO","Penaeus brevirostris","Species",45,149996.454,1339.987,3996.106,0.038,88976.67,126956710.7,0.188,NA,NA,NA,NA
"27","Panama","10373-FAO",2012,"Marine worms",1335.883,21,1.793,0.21,"FAO","Polychaeta","Species",77,5836.669,55.726,327.086,0.075,1862.495,228220.578,0.188,NA,NA,NA,NA
"28","Panama","10379-FAO",2012,"Pacific anchoveta",548332.677,42135,0.565,1.507,"FAO","Cetengraulis mysticetus","Species",35,15528774.02,37121.133,1041.672,0.038,2427249.977,1158455983,0.188,NA,NA,NA,NA
"29","Panama","10382-FAO",2012,"Pacific thread herring",177719.835,20541,0.92,0.782,"FAO","Opisthonema libertate","Species",35,4834185.925,21413.466,349.062,0.111,482922.275,56120742.36,0.188,NA,NA,NA,NA
"30","Benin","1041-FAO",2012,"Giant African threadfin",39.938,3,0.697,0.678,"FAO","Polydactylus quadrifilis","Species",33,2477.861,6.345,1833.536,0.111,143.269,87487.082,0.188,NA,NA,NA,NA
"31","Papua New Guinea","10436-FAO",2012,"Banana prawn",4802.113,304,0.5,1.61,"FAO","Penaeus merguiensis","Species",45,278659.497,377.892,3996.106,0.039,24029.091,33843483.13,0.188,NA,NA,NA,NA
"32","Papua New Guinea","10437-FAO",2012,"Barramundi(=Giant seaperch)",2773.749,27,0.826,0.291,"FAO","Lates calcarifer","Species",25,13690.327,112.227,791.739,0.033,8391.793,3169203.974,0.188,NA,NA,NA,NA
"33","Papua New Guinea","10441-FAO",2012,"Giant tiger prawn",2076.62,148,0.872,1.787,"FAO","Penaeus monodon","Species",45,321951.12,95.012,3996.106,0.04,5954.99,8351002.865,0.188,NA,NA,NA,NA
"34","Papua New Guinea","10442-FAO",2012,"Indo-Pacific swamp crab",203.191,1,0.479,0.131,"FAO","Scylla serrata","Species",42,1745.579,15.877,3411.591,0.037,1059.894,1667066.723,0.188,NA,NA,NA,NA
"35","Peru","10456-FAO",2012,"Cabinza grunt",26129.9,2369,0.737,2.152,"FAO","Isacia conceptionis","Species",33,1152279.424,1493.691,1833.536,0.042,88640.813,72330474.12,0.188,NA,NA,NA,NA
"36","Peru","10458-FAO",2012,"Cholga mussel",77917.909,8451,0.477,2.772,"FAO","Aulacomya ater","Species",54,1572620.749,6394.603,559.745,0.039,408613.898,56693143.44,0.188,NA,NA,NA,NA
"37","Peru","10462-FAO",2012,"Corvina drum",56276.362,811,0.408,0.387,"FAO","Cilus gilberti","Species",33,391670.764,5130.647,2335.514,0.037,344761.387,371955812.6,0.188,NA,NA,NA,NA
"38","Peru","10466-FAO",2012,"Echinoderms",88812.432,2295,1.847,0.391,"FAO","Echinodermata","Species",76,618658.59,3174.45,327.086,0.066,120234.933,15296359.98,0.188,NA,NA,NA,NA
"39","Peru","10467-FAO",2012,"False abalone",16420.949,1312,0.703,1.989,"FAO","Concholepas concholepas","Species",52,439205.755,938.912,1353.429,0.04,58430.986,35700178.85,0.188,NA,NA,NA,NA
"40","Peru","10475-FAO",2012,"Jumbo flying squid",14654446.37,497462,1.901,0.6,"FAO","Dosidicus gigas","Species",57,555090340,436153.937,1384.735,0.057,19273438,10871965280,0.188,NA,NA,NA,NA
"41","Peru","10484-FAO",2012,"Pacific angelshark",11679.027,33,0.905,0.218,"FAO","Squatina californica","Species",38,20457.118,167.295,886.725,0.013,32253.533,18125108.35,0.188,NA,NA,NA,NA
"42","Peru","10485-FAO",2012,"Pacific guitarfish",23349.095,780,0.977,0.942,"FAO","Rhinobatos planiceps","Species",38,242832.719,847.3,548.726,0.035,59753.985,15367666.23,0.188,NA,NA,NA,NA
"43","Peru","10486-FAO",2012,"Pacific menhaden",89384.568,4057,0.571,0.946,"FAO","Ethmidium maculatum","Species",35,371680.281,5636.126,206.499,0.036,391707.894,37745099.61,0.188,NA,NA,NA,NA
"44","Peru","10488-FAO",2012,"Patagonian squid",600151.369,20484,1.93,0.757,"FAO","Loligo gahi","Species",57,27526514.22,14011.093,1690.429,0.045,777253.236,573024222.9,0.188,NA,NA,NA,NA
"45","Peru","10491-FAO",2012,"Peruvian banded croaker",41105.818,1476,0.454,0.963,"FAO","Paralonchurus peruanus","Species",33,139632.925,3376.386,1503.069,0.037,226370.366,157070626.1,0.188,NA,NA,NA,NA
"46","Peru","10492-FAO",2012,"Peruvian calico scallop",91912.564,14896,0.461,3.717,"FAO","Argopecten purpuratus","Species",55,8168666.079,8695.979,1719.547,0.044,498598.9,185816984,0.188,NA,NA,NA,NA
"47","Peru","10493-FAO",2012,"Peruvian morwong",20799.168,590,1.882,0.576,"FAO","Cheilodactylus variegatus","Species",34,651157,544.393,1368.908,0.049,27633.982,16064359.75,0.188,NA,NA,NA,NA
"48","Peru","10494-FAO",2012,"Peruvian rock seabass",38524.324,1550,0.554,1.115,"FAO","Paralabrax humeralis","Species",33,1247605.64,2507.539,4059.514,0.036,173708.887,328741587.4,0.188,NA,NA,NA,NA
"49","Peru","10495-FAO",2012,"Peruvian weakfish",67196.773,2838,0.792,1.078,"FAO","Cynoscion analis","Species",33,721489.715,3324.704,571.852,0.039,212069.904,55152650.21,0.188,NA,NA,NA,NA
"50","Benin","1049-FAO",2012,"Largehead hairtail",2419.37,84,0.987,0.326,"FAO","Trichiurus lepturus","Species",34,47904.784,261.361,828.25,0.107,6129.986,1710301.354,0.188,NA,NA,NA,NA
"51","Peru","10503-FAO",2012,"South American pilchard",7392616.485,161,0.537,0,"FAO","Sardinops sagax","Species",35,44402.47,501320.459,293.252,0.036,34445731.81,4697525380,0.188,NA,NA,NA,NA
"52","Benin","1050-FAO",2012,"Lesser African threadfin",30323.474,857,1.931,0.182,"FAO","Galeoides decadactylus","Species",33,1361282.209,2437.583,1833.536,0.155,39263.751,21665923.6,0.188,NA,NA,NA,NA
"53","Philippines","10521-FAO",2012,"Barramundi(=Giant seaperch)",28596.367,756,1.276,0.668,"FAO","Lates calcarifer","Species",25,419644.387,886.577,791.739,0.04,56045.983,20126169.81,0.188,NA,NA,NA,NA
"54","Philippines","10538-FAO",2012,"Blue swimming crab",666077.912,26066,1.233,0.932,"FAO","Portunus pelagicus","Species",42,58559270.87,22681.66,3411.591,0.042,1350040.06,2051593864,0.188,NA,NA,NA,NA
"55","Philippines","10541-FAO",2012,"Chacunda gizzard shad",36730.116,1131,1.962,0.278,"FAO","Anodontostoma chacunda","Species",24,754378.385,2074.646,784.099,0.111,46803.628,12219038.81,0.188,NA,NA,NA,NA
"56","Philippines","10550-FAO",2012,"Endeavour shrimp",6047.955,864,0.823,3.415,"FAO","Metapenaeus endeavouri","Species",45,1036260.72,307.221,2896.543,0.042,18363.014,18401858.89,0.188,NA,NA,NA,NA
"57","Philippines","10560-FAO",2012,"Green mussel",5049.322,26,0.273,0.156,"FAO","Perna viridis","Species",54,8192.888,609.871,619.999,0.033,46234.391,7479138.703,0.188,NA,NA,NA,NA
"58","Philippines","10565-FAO",2012,"Indian pellona",39324.814,1104,1.926,0.237,"FAO","Pellona ditchela","Species",24,740181.248,2422.258,784.099,0.119,51035.452,13053420.49,0.188,NA,NA,NA,NA
"59","Philippines","10566-FAO",2012,"Indo-Pacific swamp crab",23311.218,1447,0.803,1.563,"FAO","Scylla serrata","Species",42,1913170.982,1152.595,3411.591,0.04,72556.722,112129816.2,0.188,NA,NA,NA,NA
"60","Philippines","10567-FAO",2012,"Indo-Pacific tarpon",6951.236,1438,0.53,4.973,"FAO","Megalops cyprinoides","Species",33,-829485.122,546.023,1833.536,0.042,32816.738,26880442.27,0.188,NA,NA,NA,NA
"61","Philippines","10577-FAO",2012,"Milkfish",10959.829,248,0.93,0.602,"FAO","Chanos chanos","Species",25,147423.814,443.333,986.405,0.038,29471.47,13385816.55,0.188,NA,NA,NA,NA
"62","Philippines","10579-FAO",2012,"Moonfish",434229.539,16321,1.951,0.342,"FAO","Mene maculata","Species",33,25143993.91,24487.098,1833.536,0.11,556398.83,340405508.9,0.188,NA,NA,NA,NA
"63","Philippines","10590-FAO",2012,"Rainbow sardine",119193.885,7186,0.664,0.49,"FAO","Dussumieria acuta","Species",35,1280789.305,16554.047,293.252,0.092,448598.43,46277676.09,0.188,NA,NA,NA,NA
"64","Philippines","10608-FAO",2012,"Sillago-whitings",262161.184,14370,1.171,1.358,"FAO","Sillaginidae","Species",33,15740480.95,9033.164,1833.536,0.04,559491.592,462439980.9,0.188,NA,NA,NA,NA
"65","Philippines","10611-FAO",2012,"Slipper cupped oyster",11461.009,116,0.689,0.288,"FAO","Crassostrea iredalei","Species",53,58006.156,583.543,877.05,0.035,41569.039,17139160.75,0.188,NA,NA,NA,NA
"66","Philippines","10617-FAO",2012,"Spotted sicklefish",972.35,92,0.617,0.945,"FAO","Drepane punctata","Species",33,53030.402,157.8,1833.536,0.1,3940.144,2479757.886,0.188,NA,NA,NA,NA
"67","Benin","1062-FAO",2012,"Royal threadfin",3849.298,143,1.821,0.28,"FAO","Pentanemus quinquarius","Species",33,219911.917,280.483,1833.536,0.133,5284.721,3056557.246,0.188,NA,NA,NA,NA
"68","Poland","10689-FAO",2012,"Atlantic salmon",1993.481,32,0.405,1.139,"FAO","Salmo salar","Species",23,17018.595,69.435,3577.305,0.014,12316.793,20970352.26,0.188,NA,NA,NA,NA
"69","Poland","10730-FAO",2012,"European flounder",150904.966,10089,1.308,1.626,"FAO","Platichthys flesus","Species",31,18026118.4,4741.613,2418.449,0.041,288380.248,214633693.2,0.188,NA,NA,NA,NA
"70","Poland","10737-FAO",2012,"European whitefish",710.316,23,1.593,0.419,"FAO","Coregonus lavaretus","Species",23,33310.496,34.454,1828.901,0.077,1114.994,756586.095,0.188,NA,NA,NA,NA
"71","Benin","1080-FAO",2012,"West African ilisha",31676.505,1691,1.96,0.483,"FAO","Ilisha africana","Species",24,1091946.993,1786.357,784.099,0.111,40404.141,10556501.88,0.188,NA,NA,NA,NA
"72","Benin","1081-FAO",2012,"West African ladyfish",272.879,43,1.439,3.944,"FAO","Elops lacerta","Species",33,43250.288,7.578,1833.536,0.04,474.242,393189.352,0.188,NA,NA,NA,NA
"73","Poland","10863-FAO",2012,"Sea trout",8856.781,166,1.166,0.462,"FAO","Salmo trutta","Species",23,504731.265,308.452,4299.216,0.041,18997.903,36756722.6,0.188,NA,NA,NA,NA
"74","Poland","10891-FAO",2012,"Turbot",529.405,66,0.955,3.002,"FAO","Psetta maxima","Species",31,261648.268,23.018,6955.084,0.042,1385.709,2956902.803,0.188,NA,NA,NA,NA
"75","Portugal","10920-FAO",2012,"Alfonsino",505.115,45,1.081,2.12,"FAO","Beryx decadactylus","Species",34,37869.399,19.63,1678.317,0.042,1167.987,873076.07,0.188,NA,NA,NA,NA
"76","Portugal","10927-FAO",2012,"Amer. plaice(=Long rough dab)",241.776,4,0.337,1.247,"FAO","Hippoglossoides platessoides","Species",31,406.439,9.518,1608.811,0.013,1794.325,1247355.657,0.188,NA,NA,NA,NA
"77","Portugal","10929-FAO",2012,"American angler",203.643,3,0.985,1.094,"FAO","Lophius americanus","Species",34,5327.24,2.784,3222.056,0.013,517.013,1043892.187,0.188,NA,NA,NA,NA
"78","Bermuda","1092-FAO",2012,"Black grouper",477.892,22,1.449,0.982,"FAO","Mycteroperca bonaci","Species",33,52048.38,15.456,3357.21,0.047,824.438,1192998.382,0.188,NA,NA,NA,NA
"79","Portugal","10935-FAO",2012,"Angular roughshark",634.111,3,0.953,0.112,"FAO","Oxynotus centrina","Species",38,2037.829,28.197,886.725,0.042,1663.932,655525.825,0.188,NA,NA,NA,NA
"80","Portugal","10936-FAO",2012,"Annular seabream",1288.707,57,1.498,0.784,"FAO","Diplodus annularis","Species",33,118981.779,48.53,2847.467,0.056,2150.293,2496260.472,0.188,NA,NA,NA,NA
"81","Portugal","10952-FAO",2012,"Atlantic halibut",12.243,1,0.17,6.098,"FAO","Hippoglossus hippoglossus","Species",31,-14150.996,0.962,7142.158,0.013,179.624,552681.396,0.188,NA,NA,NA,NA
"82","Portugal","10953-FAO",2012,"Atlantic halibut",159.597,70,0.213,32.715,"FAO","Hippoglossus hippoglossus","Species",31,-1474708.287,10.05,7142.158,0.013,1874.104,5764984.589,0.188,NA,NA,NA,NA
"83","Portugal","10979-FAO",2012,"Axillary seabream",34739.179,780,1.631,0.342,"FAO","Pagellus acarne","Species",33,1796229.473,1398.005,2847.467,0.066,53260.715,59091012.5,0.188,NA,NA,NA,NA
"84","Portugal","10981-FAO",2012,"Ballan wrasse",107.366,10,1.009,2.254,"FAO","Labrus bergylta","Species",33,8354.815,4.398,1833.536,0.041,266.108,218413.46,0.188,NA,NA,NA,NA
"85","Portugal","10983-FAO",2012,"Barnacle",369.107,74,1.034,4.607,"FAO","Pollicipes pollicipes","Species",47,97935.521,15.531,3231.497,0.044,892.311,1140555.595,0.188,NA,NA,NA,NA
"86","Bermuda","1098-FAO",2012,"Caribbean spiny lobster",771.235,47,0.383,1.994,"FAO","Panulirus argus","Species",43,88308.39,61.493,16628.091,0.031,5029.808,26331850.81,0.188,NA,NA,NA,NA
"87","Portugal","10991-FAO",2012,"Bean solen",3282.205,34,1.442,0.259,"FAO","Pharus legumen","Species",56,26431.241,90.995,970.43,0.04,5689.279,2495856.996,0.188,NA,NA,NA,NA
"88","Albania","10-FAO",2012,"Common cuttlefish",3898.687,125,1.799,0.448,"FAO","Sepia officinalis","Species",57,248143.073,155.014,2444.774,0.072,5418.234,5029540.903,0.188,NA,NA,NA,NA
"89","Portugal","11019-FAO",2012,"Black scabbardfish",85167.62,1718,1.243,0.493,"FAO","Aphanopus carbo","Species",34,1024400.835,2802.505,828.25,0.041,171337.011,63722115.19,0.188,NA,NA,NA,NA
"90","Bermuda","1101-FAO",2012,"Coney",155.877,26,1.318,4.07,"FAO","Cephalopholis fulva","Species",33,43884.063,4.846,3357.21,0.041,295.6,445323.519,0.188,NA,NA,NA,NA
"91","Portugal","11024-FAO",2012,"Blackbellied angler",3039.483,144,1.811,0.723,"FAO","Lophius budegassa","Species",34,363971.663,110.025,3222.056,0.066,4196.217,5269717.916,0.188,NA,NA,NA,NA
"92","Portugal","11025-FAO",2012,"Blackbelly rosefish",308.094,10,1.413,0.824,"FAO","Helicolenus dactylopterus","Species",34,9756.145,8.582,1368.908,0.039,545.003,338847.79,0.188,NA,NA,NA,NA
"93","Portugal","11026-FAO",2012,"Blackbelly rosefish",19600.164,415,1.705,0.295,"FAO","Helicolenus dactylopterus","Species",34,468654.97,823.821,1368.908,0.072,28740.063,14929485.07,0.188,NA,NA,NA,NA
"94","Portugal","11033-FAO",2012,"Blue and red shrimp",24.209,3,0.422,2.874,"FAO","Aristeus antennatus","Species",45,-740.861,2.472,2896.543,0.043,143.374,142382.514,0.188,NA,NA,NA,NA
"95","Portugal","11034-FAO",2012,"Blue and red shrimp",118.634,46,0.425,9.315,"FAO","Aristeus antennatus","Species",45,-31789.558,11.629,3794.472,0.042,698.461,707064.732,0.188,NA,NA,NA,NA
"96","Bermuda","1103-FAO",2012,"Grey snapper",45.925,8,1.145,4.181,"FAO","Lutjanus griseus","Species",33,11509.643,1.67,3401.099,0.042,100.241,152236.872,0.188,NA,NA,NA,NA
"97","Portugal","11048-FAO",2012,"Blue mussel",446.131,85,0.347,4.839,"FAO","Mytilus edulis","Species",54,-2199.237,50.677,303.844,0.039,3217.834,241889.747,0.188,NA,NA,NA,NA
"98","Portugal","11049-FAO",2012,"Blue shark",114208.263,1423,1.359,0.688,"FAO","Prionace glauca","Species",38,904600.8,1521.263,886.725,0.018,210135.377,106847146.5,0.188,NA,NA,NA,NA
"99","Portugal","11052-FAO",2012,"Blue shark",51058.646,1514,1.376,1.575,"FAO","Prionace glauca","Species",38,861393.093,698.897,886.725,0.019,92784.562,46619728.81,0.188,NA,NA,NA,NA
"100","Portugal","11055-FAO",2012,"Blue shark",240.514,19,0.849,5.997,"FAO","Prionace glauca","Species",38,2242.144,3.73,886.725,0.013,707.889,395933.727,0.188,NA,NA,NA,NA
"101","Portugal","11056-FAO",2012,"Blue shark",11279.518,555,0.929,3.64,"FAO","Prionace glauca","Species",38,156148.923,164.196,886.725,0.014,30368.382,16854459,0.188,NA,NA,NA,NA
"102","Portugal","11069-FAO",2012,"Bogue",369.663,6,0.558,0.417,"FAO","Boops boops","Species",33,6945.214,25.822,2847.467,0.039,1657.601,2150659.925,0.188,NA,NA,NA,NA
"103","Portugal","11070-FAO",2012,"Bogue",13651.489,830,0.895,1.675,"FAO","Boops boops","Species",33,1037685.744,553.4,2847.467,0.036,38116.602,50510491.56,0.188,NA,NA,NA,NA
"104","Portugal","11074-FAO",2012,"Brill",296.425,37,0.88,1.165,"FAO","Scophthalmus rhombus","Species",31,166941.858,36.099,6955.084,0.107,842.05,1351999.976,0.188,NA,NA,NA,NA
"105","Portugal","11098-FAO",2012,"Common cuttlefish",21492.663,16,1.107,0.021,"FAO","Sepia officinalis","Species",57,34327.289,679.954,2444.774,0.035,48545.458,55830837.9,0.188,NA,NA,NA,NA
"106","Portugal","11099-FAO",2012,"Common cuttlefish",64062.418,1146,1.865,0.264,"FAO","Sepia officinalis","Species",57,2368274.924,2330.339,2444.774,0.068,85896.749,81015643.08,0.188,NA,NA,NA,NA
"107","Portugal","11102-FAO",2012,"Common dentex",158.619,6,0.681,2.833,"FAO","Dentex dentex","Species",33,2327.698,3.11,2847.467,0.013,582.479,1041992.369,0.188,NA,NA,NA,NA
"108","Portugal","11110-FAO",2012,"Common eagle ray",825.086,12,1.728,0.19,"FAO","Myliobatis aquila","Species",38,5589.053,36.629,548.726,0.077,1193.847,243571.375,0.188,NA,NA,NA,NA
"109","Portugal","11111-FAO",2012,"Common edible cockle",91564.408,1125,1.747,0.281,"FAO","Cerastoderma edule","Species",56,907947.888,2291.259,970.43,0.044,131064.282,55983205.72,0.188,NA,NA,NA,NA
"110","Portugal","11113-FAO",2012,"Common octopus",339983.833,9271,1.77,0.363,"FAO","Octopus vulgaris","Species",57,25306255.58,14444.532,3326.246,0.075,480357.661,597673020.9,0.188,NA,NA,NA,NA
"111","Portugal","11115-FAO",2012,"Common pandora",2152.975,106,0.772,1.245,"FAO","Pagellus erythrinus","Species",33,122125.302,110.329,2847.467,0.04,6974.64,9007745.177,0.188,NA,NA,NA,NA
"112","Portugal","11123-FAO",2012,"Common two-banded seabream",3587.195,367,0.903,2.482,"FAO","Diplodus vulgaris","Species",33,391283.606,163.661,2847.467,0.041,9926.891,12662469.68,0.188,NA,NA,NA,NA
"113","Portugal","11135-FAO",2012,"Deep-water rose shrimp",1134.211,26,0.442,0.565,"FAO","Parapenaeus longirostris","Species",45,63015.832,104.107,6653.856,0.041,6411.518,14892514.8,0.188,NA,NA,NA,NA
"114","Portugal","11136-FAO",2012,"Deep-water rose shrimp",3363.07,926,0.586,6.566,"FAO","Parapenaeus longirostris","Species",45,-14474.977,240.842,6653.856,0.042,14358,33026756.82,0.188,NA,NA,NA,NA
"115","Portugal","11147-FAO",2012,"Dusky grouper",300.952,14,0.449,3.413,"FAO","Epinephelus marginatus","Species",33,-18024.394,9.126,3357.21,0.014,1674.001,3508834.217,0.188,NA,NA,NA,NA
"116","Portugal","11149-FAO",2012,"Edible crab",100.014,2,0.744,0.498,"FAO","Cancer pagurus","Species",42,1969.934,5.4,1856.335,0.04,336.238,281821.011,0.188,NA,NA,NA,NA
"117","Portugal","11162-FAO",2012,"European conger",2676.337,97,0.638,2.724,"FAO","Conger conger","Species",34,30245.282,55.802,3484.483,0.013,10483.664,22971911.34,0.188,NA,NA,NA,NA
"118","Portugal","11163-FAO",2012,"European conger",82361.547,1629,1.18,0.883,"FAO","Conger conger","Species",34,3682241.639,1564.242,3484.483,0.022,174530.289,327088594.3,0.188,NA,NA,NA,NA
"119","Portugal","11169-FAO",2012,"European lobster",18.163,4,0.352,5.601,"FAO","Homarus gammarus","Species",43,-11180.262,2.03,8798.31,0.039,129.082,331532.71,0.188,NA,NA,NA,NA
"120","Portugal","11173-FAO",2012,"European seabass",2708.008,369,0.775,3.373,"FAO","Dicentrarchus labrax","Species",33,300679.678,141.13,4059.514,0.04,8733.306,15977427.15,0.188,NA,NA,NA,NA
"121","Portugal","11197-FAO",2012,"Gilthead seabream",11257.112,230,2.033,0.265,"FAO","Sparus aurata","Species",33,648184.776,427.095,3284.723,0.077,13840.253,16873872.69,0.188,NA,NA,NA,NA
"122","Portugal","11208-FAO",2012,"Greater weever",100.554,9,0.563,2.163,"FAO","Trachinus draco","Species",33,615.688,7.385,1833.536,0.041,446.259,366120.675,0.188,NA,NA,NA,NA
"123","Portugal","11209-FAO",2012,"Green crab",4208.902,437,0.569,2.916,"FAO","Carcinus maenas","Species",42,-62835.33,263.357,3411.591,0.036,18488.794,29523025.57,0.188,NA,NA,NA,NA
"124","Portugal","11215-FAO",2012,"Grey triggerfish",1477.688,182,1.011,3.028,"FAO","Balistes carolinensis","Species",33,135712.89,59.449,1833.536,0.041,3653.862,3013071.208,0.188,NA,NA,NA,NA
"125","Portugal","11216-FAO",2012,"Grooved carpet shell",39737.639,54,1.258,0.038,"FAO","Ruditapes decussatus","Species",56,45700.592,1140.969,970.43,0.036,79001.607,35735093.86,0.188,NA,NA,NA,NA
"126","Portugal","11241-FAO",2012,"Horned octopus",15317.661,102,1.7,0.098,"FAO","Eledone cirrhosa","Species",57,296529.431,613.215,3326.246,0.068,22523.436,28872331.51,0.188,NA,NA,NA,NA
"127","Portugal","11252-FAO",2012,"John dory",13532.627,413,1.506,0.755,"FAO","Zeus faber","Species",34,908389.467,362.967,2982.647,0.04,22459.989,30189820.73,0.188,NA,NA,NA,NA
"128","Portugal","11265-FAO",2012,"Leafscale gulper shark",6462.683,160,1.462,0.594,"FAO","Centrophorus squamosus","Species",38,91812.262,184.174,766.905,0.042,11052.039,3784725.199,0.188,NA,NA,NA,NA
"129","Portugal","11297-FAO",2012,"Madeiran sardinella",22.249,1,0.911,0.804,"FAO","Sardinella maderensis","Species",35,195.964,1.024,293.252,0.042,61.061,7979.548,0.188,NA,NA,NA,NA
"130","Portugal","11334-FAO",2012,"Meagre",2253.359,184,0.393,6.107,"FAO","Argyrosomus regius","Species",33,-244155.679,76.613,1503.069,0.013,14325.579,13521374.63,0.188,NA,NA,NA,NA
