SciName,Country,iq,itq,ivq,turf,SpeciesCat
Adelomelon ancilla,Chile,FALSE,FALSE,FALSE,TRUE,NA
Allocyttus niger,New Zealand,FALSE,TRUE,FALSE,FALSE,34
Ammodytes personatus,Japan,FALSE,FALSE,FALSE,TRUE,33
Anadara antiquat,Fiji,FALSE,FALSE,FALSE,TRUE,56
Anadara similis,Ecuador,FALSE,FALSE,FALSE,TRUE,56
Anadara tuberculos,Ecuador,FALSE,FALSE,FALSE,TRUE,56
Anchovies spp,Netherlands,FALSE,FALSE,FALSE,TRUE,35
Anguilla anguilla,Greece,FALSE,FALSE,FALSE,TRUE,22
Anodontostoma chacunda,Philippines,FALSE,FALSE,FALSE,TRUE,24
Anoplopoma fimbria,USA,FALSE,TRUE,FALSE,FALSE,34
Arctoscopus japonicus,Japan,FALSE,FALSE,FALSE,TRUE,34
Argobuccinum argus,Chile,FALSE,FALSE,FALSE,TRUE,NA
Argobuccinum spp,Chile,FALSE,FALSE,FALSE,TRUE,MA
Argopecten purpuratus,Chile,FALSE,FALSE,FALSE,TRUE,55
Astraea turbanica,Mexico,FALSE,FALSE,FALSE,TRUE,NA
Astraea undosa,Mexico,FALSE,FALSE,FALSE,TRUE,NA
Atherinidae,Philippines,FALSE,FALSE,FALSE,TRUE,37
Athyionidium chilensis,Chile,FALSE,FALSE,FALSE,TRUE,NA
Atrina tuberculosa,Mexico,FALSE,FALSE,FALSE,TRUE,55
Aulacomya ater,Chile,FALSE,FALSE,FALSE,TRUE,54
Austromegabalanus psittacus,Chile,FALSE,FALSE,FALSE,TRUE,47
Balistes polylepis,Mexico,FALSE,FALSE,FALSE,TRUE,33
Birgus latro,Vanuatu,FALSE,FALSE,FALSE,TRUE,44
Brama australis,Chile,FALSE,FALSE,FALSE,TRUE,37
Callinectes bellicosus,Mexico,FALSE,FALSE,FALSE,TRUE,42
Callinectes sapidus,United States,FALSE,FALSE,FALSE,TRUE,42
Callista chione,Italy,FALSE,FALSE,FALSE,TRUE,56
Calyptraea trochiformis,Chile,FALSE,FALSE,FALSE,TRUE,NA
Cancer coronatus,Chile,FALSE,FALSE,FALSE,TRUE,NA
