Country,current_gdp,SciName,i_right,turf,SpeciesCat
France,42850.38628,Uranoscopus scaber,0,1,34
United Kingdom,43268.78356,Crassostrea gigas,0,1,53
United Kingdom,43268.78356,Mytilus edulis,0,1,54
United Kingdom,43268.78356,Ostrea edulis,0,1,53
United Kingdom,43268.78356,Oyster spp,0,1,53
United Kingdom,43268.78356,Scallop spp,0,1,55
Greece,27601.90492,Anguilla anguilla,0,1,22
Greece,27601.90492,Dicentrarchus labrax,0,1,33
Greece,27601.90492,Liza aurata,0,1,33
Greece,27601.90492,Liza ramada,0,1,33
Greece,27601.90492,Liza saliens,0,1,33
Greece,27601.90492,Mugil cephalus,0,1,33
Greece,27601.90492,Sparus aurata,0,1,33
India,7055.55483,Metapenaeus dobsoni,0,1,45
India,7055.55483,Metapenaeus monoceros,0,1,45
India,7055.55483,Penaeus indicus,0,1,45
India,7055.55483,Penaeus indicus,0,1,45
India,7055.55483,Penaeus monodon,0,1,45
Italy,39426.9408,Callista chione,0,1,56
Italy,39426.9408,Chamelea gallina,0,1,56
Italy,39426.9408,Donax trunculus,0,1,56
Italy,39426.9408,Ensis minor,0,1,57
Italy,39426.9408,Tapes decussatus,0,1,56
Italy,39426.9408,Venerupis aurea,0,1,56
Italy,39426.9408,Venus verrucosa,0,1,56
Japan,43278.98933,Ammodytes personatus,0,1,33
Japan,43278.98933,Arctoscopus japonicus,0,1,34
Japan,43278.98933,Chionoecetes japonicus,0,1,42
Japan,43278.98933,Clam spp,0,1,56
Japan,43278.98933,Cololabis saira,0,1,37
Japan,43278.98933,Haliotis discus,0,1,52
Japan,43278.98933,Haliotis ruber,0,1,52
Japan,43278.98933,Haliotis spp,0,1,52
Japan,43278.98933,Meretrix lusoria,0,1,56
Japan,43278.98933,Pseudocardium sachalinense,0,1,56
Japan,43278.98933,Sandeel,0,1,33
Japan,43278.98933,Sardinops melanostictus,0,1,35
Japan,43278.98933,Scomber japonicus,0,1,37
Japan,43278.98933,Sea cucumbers,0,1,77
Japan,43278.98933,Sergia lucens,0,1,45
Japan,43278.98933,Seriola quinqueradiata,0,1,37
Japan,43278.98933,Theragra chalcogramma,0,1,32
